Category1,Category2,Category3
connectors,av-connectors,av-adapters
batteries-chargers,battery-chargers-power-banks,battery-chargers
cables-wires,computer-cables,firewire-cables
cables-wires,av-cables,audio-cable
switches,capacitive-magnetic-and-piezo-switches,capacitive-switches
automation-control-gear,process-control,ammeters
lighting,light-fittings,batten-lights
engineering-materials-industrial-hardware,metal-materials,metal-tubes
batteries-chargers,battery-charger-accessories,battery-contacts
fuses-circuit-breakers,circuit-breakers,circuit-trips
